epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.802,7.20149,13.747,7.19857,0.62501,0.02501,0.00771,0.00271,5.37967,11.1794,6.24882,0.00332588,0.00332588,0.00332588
2,352.046,4.4422,7.71504,4.87174,0.23959,0.10718,0.09664,0.05599,3.67503,10.6877,4.85782,0.00662625,0.00662625,0.00662625
3,527.036,3.68098,5.49458,4.28444,0.36579,0.15982,0.11128,0.07061,3.51894,12.8791,4.79156,0.00989362,0.00989362,0.00989362
4,700.332,3.39527,4.44408,3.90068,0.52586,0.25742,0.24053,0.15573,3.39592,8.35838,4.50876,0.0098515,0.0098515,0.0098515
5,873.708,3.20567,4.03723,3.83963,0.52358,0.31501,0.3277,0.21654,2.82326,5.77154,4.03861,0.009802,0.009802,0.009802
6,1047.38,3.02042,3.52309,3.69726,0.57607,0.34579,0.35688,0.23625,2.76357,6.02576,4.00787,0.0097525,0.0097525,0.0097525
7,1221.39,2.97828,3.34207,3.65308,0.63622,0.39668,0.42112,0.27955,2.59617,6.08656,3.77874,0.009703,0.009703,0.009703
8,1394.66,2.84592,3.06225,3.56102,0.57038,0.44236,0.46136,0.30984,2.55699,5.46891,3.82497,0.0096535,0.0096535,0.0096535
9,1567.39,2.89583,3.14866,3.50628,0.53171,0.45153,0.46038,0.31134,2.55943,4.80407,3.76377,0.009604,0.009604,0.009604
10,1741.92,2.7948,2.89475,3.42034,0.58145,0.4757,0.48923,0.33186,2.42801,5.49479,3.6417,0.0095545,0.0095545,0.0095545
11,1915.45,2.75852,2.92853,3.49256,0.60858,0.49015,0.51648,0.35513,2.39484,4.18367,3.63377,0.009505,0.009505,0.009505
12,2088.75,2.70165,2.67882,3.33716,0.57243,0.49626,0.52148,0.36489,2.33233,4.36126,3.55059,0.0094555,0.0094555,0.0094555
13,2262.05,2.70341,2.70132,3.35322,0.61899,0.53151,0.54714,0.38399,2.29875,4.00902,3.51011,0.009406,0.009406,0.009406
14,2434.64,2.70539,2.69732,3.33658,0.60506,0.53953,0.55236,0.38186,2.32019,3.84799,3.50852,0.0093565,0.0093565,0.0093565
15,2607.66,2.69835,2.7166,3.3715,0.62982,0.53068,0.55743,0.39244,2.27202,3.72749,3.50667,0.009307,0.009307,0.009307
16,2782.23,2.63752,2.54984,3.26316,0.63125,0.55094,0.57254,0.40728,2.22886,3.74279,3.43982,0.0092575,0.0092575,0.0092575
17,2954.97,2.65217,2.55085,3.27997,0.64801,0.57881,0.59994,0.42565,2.18803,3.85623,3.40581,0.009208,0.009208,0.009208
18,3127.89,2.60947,2.49738,3.19432,0.65388,0.58019,0.60019,0.43121,2.18964,3.77227,3.38662,0.0091585,0.0091585,0.0091585
19,3300.9,2.58823,2.44,3.24097,0.65899,0.57524,0.60832,0.44127,2.16141,3.47035,3.36861,0.009109,0.009109,0.009109
20,3472.98,2.60762,2.45019,3.22822,0.67265,0.58332,0.61791,0.44678,2.13926,3.58085,3.33758,0.0090595,0.0090595,0.0090595
21,3645.38,2.60002,2.50956,3.23697,0.66617,0.58954,0.62432,0.45008,2.13227,3.48088,3.32517,0.00901,0.00901,0.00901
22,3817.83,2.57655,2.40501,3.20525,0.66078,0.59571,0.62648,0.45596,2.12567,3.71858,3.32196,0.0089605,0.0089605,0.0089605
23,3990.6,2.5846,2.48707,3.22726,0.68116,0.59657,0.63303,0.46345,2.0992,3.57548,3.29028,0.008911,0.008911,0.008911
24,4163.84,2.55404,2.37231,3.17867,0.6719,0.60747,0.63426,0.46624,2.0916,3.69043,3.27826,0.0088615,0.0088615,0.0088615
25,4337.75,2.59531,2.4156,3.18727,0.6805,0.60892,0.63771,0.46735,2.09026,3.58524,3.26806,0.008812,0.008812,0.008812
26,4512.4,2.51113,2.32292,3.1643,0.6815,0.61214,0.64576,0.47321,2.0767,3.65002,3.25909,0.0087625,0.0087625,0.0087625
27,4685.26,2.46846,2.25124,3.14475,0.67959,0.61732,0.64562,0.47455,2.06009,3.70848,3.24728,0.008713,0.008713,0.008713
28,4858.55,2.48611,2.23678,3.13168,0.6787,0.61634,0.65074,0.47932,2.05543,3.71361,3.23685,0.0086635,0.0086635,0.0086635
29,5030.82,2.47586,2.23544,3.1298,0.67621,0.62702,0.65228,0.48136,2.04246,3.69462,3.22112,0.008614,0.008614,0.008614
30,5203.77,2.49285,2.25841,3.11355,0.67915,0.63237,0.65028,0.48035,2.03017,3.65893,3.21048,0.0085645,0.0085645,0.0085645
31,5376.49,2.49289,2.27513,3.15752,0.68464,0.63154,0.65288,0.48342,2.02083,3.66721,3.2014,0.008515,0.008515,0.008515
32,5549.24,2.48064,2.26429,3.17242,0.6824,0.63947,0.65921,0.48848,2.0145,3.69472,3.19847,0.0084655,0.0084655,0.0084655
33,5723.98,2.46582,2.26285,3.06887,0.68676,0.63732,0.66056,0.48986,2.01131,3.69853,3.19361,0.008416,0.008416,0.008416
34,5897.89,2.44912,2.26551,3.10325,0.68693,0.64364,0.66244,0.491,2.00908,3.70176,3.19105,0.0083665,0.0083665,0.0083665
35,6072.34,2.41791,2.11162,3.08945,0.68336,0.65037,0.66366,0.49278,2.00333,3.72875,3.18593,0.008317,0.008317,0.008317
36,6244.91,2.43537,2.21871,3.05121,0.69049,0.6447,0.66313,0.49388,1.99947,3.75835,3.18293,0.0082675,0.0082675,0.0082675
37,6418.87,2.414,2.12174,3.01273,0.68901,0.6461,0.66475,0.49524,1.99605,3.75836,3.17443,0.008218,0.008218,0.008218
38,6592.31,2.4526,2.13536,3.00473,0.69194,0.64387,0.66735,0.49765,1.99354,3.77695,3.16813,0.0081685,0.0081685,0.0081685
39,6766.63,2.40538,2.09241,3.07669,0.69379,0.64649,0.66972,0.49889,1.98973,3.76888,3.15894,0.008119,0.008119,0.008119
40,6940.19,2.4148,2.10403,2.99444,0.69373,0.64844,0.67237,0.50123,1.98588,3.76486,3.15446,0.0080695,0.0080695,0.0080695
41,7112.99,2.40447,2.06221,3.01452,0.6926,0.65355,0.67357,0.50223,1.98217,3.75563,3.15046,0.00802,0.00802,0.00802
42,7286.83,2.39152,2.03844,3.02507,0.69318,0.65268,0.67556,0.50381,1.97898,3.75321,3.14464,0.0079705,0.0079705,0.0079705
43,7459.38,2.40647,2.128,3.01519,0.6947,0.65243,0.67754,0.50563,1.97726,3.74054,3.14144,0.007921,0.007921,0.007921
44,7632.34,2.40365,2.10135,3.00327,0.69596,0.65308,0.67869,0.50724,1.97455,3.73169,3.13719,0.0078715,0.0078715,0.0078715
45,7805.63,2.37814,2.08451,3.01595,0.69736,0.653,0.67977,0.50796,1.97244,3.72283,3.13466,0.007822,0.007822,0.007822
46,7978.64,2.35536,2.0085,2.97225,0.69937,0.65279,0.68123,0.50899,1.96937,3.70986,3.1309,0.0077725,0.0077725,0.0077725
47,8151.38,2.38194,2.04129,2.97247,0.69884,0.65797,0.68312,0.51045,1.9667,3.69198,3.12758,0.007723,0.007723,0.007723
48,8323.88,2.37848,2.01939,2.98025,0.69832,0.66038,0.68396,0.51143,1.96372,3.67286,3.12533,0.0076735,0.0076735,0.0076735
49,8495.89,2.36398,2.05209,2.98107,0.7006,0.6611,0.6855,0.51274,1.96064,3.66259,3.12212,0.007624,0.007624,0.007624
50,8669.53,2.36473,1.96931,2.94114,0.70305,0.66044,0.6871,0.51376,1.9579,3.64929,3.11966,0.0075745,0.0075745,0.0075745
51,8842.4,2.38162,2.03523,2.97435,0.70635,0.65829,0.68883,0.51535,1.95572,3.63534,3.11707,0.007525,0.007525,0.007525
52,9015.02,2.37881,2.01003,2.99348,0.70616,0.65946,0.69019,0.51636,1.95485,3.62098,3.11363,0.0074755,0.0074755,0.0074755
53,9187.29,2.34165,1.97834,2.98092,0.70531,0.66052,0.69102,0.5171,1.95318,3.60394,3.11143,0.007426,0.007426,0.007426
54,9361.09,2.32943,1.97355,2.96472,0.70419,0.66445,0.69237,0.51836,1.95206,3.5909,3.10864,0.0073765,0.0073765,0.0073765
55,9534.48,2.32682,1.90744,2.93528,0.70407,0.66421,0.69387,0.5197,1.95026,3.57575,3.10427,0.007327,0.007327,0.007327
56,9706.81,2.33554,1.96522,2.94325,0.70426,0.6663,0.69465,0.52056,1.94832,3.55875,3.10191,0.0072775,0.0072775,0.0072775
57,9879.69,2.38096,2.03261,2.95502,0.70691,0.66382,0.69589,0.5216,1.94646,3.54112,3.09792,0.007228,0.007228,0.007228
58,10052.2,2.35334,1.99141,2.94062,0.70685,0.66508,0.6969,0.52232,1.94543,3.52257,3.09486,0.0071785,0.0071785,0.0071785
59,10224.9,2.31622,1.96037,2.9145,0.70954,0.66608,0.69864,0.52397,1.9436,3.51155,3.09152,0.007129,0.007129,0.007129
60,10398.8,2.30597,1.97965,2.98948,0.71349,0.66447,0.69987,0.52529,1.9429,3.50072,3.08966,0.0070795,0.0070795,0.0070795
61,10573.1,2.28949,1.89213,2.90005,0.71421,0.66347,0.70128,0.52665,1.94161,3.48191,3.08818,0.00703,0.00703,0.00703
62,10747,2.2847,1.92385,2.9103,0.71152,0.66833,0.70251,0.52801,1.93928,3.4661,3.08571,0.0069805,0.0069805,0.0069805
63,10919.2,2.34821,1.9711,2.9474,0.71399,0.66545,0.70331,0.529,1.93753,3.45632,3.08321,0.006931,0.006931,0.006931
64,11091.5,2.30835,1.9888,2.88632,0.71494,0.6638,0.70429,0.53027,1.93608,3.44495,3.08104,0.0068815,0.0068815,0.0068815
65,11265.4,2.29288,1.93877,2.92687,0.71702,0.66466,0.70516,0.53127,1.93417,3.43908,3.07731,0.006832,0.006832,0.006832
66,11438.3,2.2526,1.85229,2.88242,0.70857,0.66994,0.70604,0.53214,1.93267,3.43279,3.07415,0.0067825,0.0067825,0.0067825
67,11610.8,2.30985,1.97054,2.90322,0.71183,0.66748,0.70706,0.53355,1.93085,3.41903,3.07221,0.006733,0.006733,0.006733
68,11783.1,2.32289,1.96681,2.92801,0.71228,0.6679,0.70787,0.53423,1.93042,3.41083,3.07037,0.0066835,0.0066835,0.0066835
69,11955.6,2.28988,1.92629,2.92264,0.70518,0.67655,0.70924,0.53503,1.9287,3.40205,3.06848,0.006634,0.006634,0.006634
70,12128.8,2.25752,1.85355,2.89802,0.70923,0.67292,0.7092,0.53537,1.92655,3.38938,3.06548,0.0065845,0.0065845,0.0065845
71,12302,2.26746,1.90366,2.8969,0.70881,0.67276,0.70968,0.53604,1.92434,3.3828,3.06292,0.006535,0.006535,0.006535
72,12476.1,2.31844,1.93552,2.90445,0.70554,0.67938,0.71072,0.53698,1.92339,3.37356,3.06065,0.0064855,0.0064855,0.0064855
73,12648.8,2.28901,1.89434,2.86646,0.71051,0.67632,0.71178,0.5379,1.92133,3.35987,3.05637,0.006436,0.006436,0.006436
74,12821.7,2.26717,1.84168,2.86746,0.71275,0.67769,0.71289,0.53859,1.91977,3.35451,3.05294,0.0063865,0.0063865,0.0063865
75,12994.4,2.29385,1.90788,2.90345,0.71137,0.68004,0.71417,0.53947,1.91832,3.34242,3.04979,0.006337,0.006337,0.006337
76,13167,2.2954,1.93474,2.91534,0.71057,0.68077,0.71509,0.54014,1.91645,3.33831,3.04695,0.0062875,0.0062875,0.0062875
